internalTaxonId,redlistCategory
133722,3
151198,3
151697,3
151705,3
151720,3
151742,3
151745,3
151748,3
151749,4
151756,3
151768,3
151776,4
151783,3
151811,3
151813,3
151846,3
151857,3
151875,3
151923,3
151924,4
151934,3
151940,3
151951,3
151953,3
151976,4
151989,4
151993,4
151995,3
152010,4
152047,3
152065,4
152083,3
152084,3
152095,4
152101,3
152102,4
152113,3
152117,3
152124,3
152152,3
152170,3
152179,3
152199,4
152215,3
152230,3
152244,3
152249,3
152257,3
152266,4
152270,4
152296,3
152304,4
152321,3
152326,3
152340,3
152360,3
152365,4
152391,4
152396,4
152405,3
152408,3
152421,4
152437,3
152443,4
152444,3
152446,3
152480,3
152484,3
152487,3
152489,3
152496,3
152503,4
152529,4
152532,3
152533,3
152539,4
152543,3
152546,4
152551,3
152553,4
152555,3
152575,3
152582,3
152598,4
152638,3
152641,4
152653,3
152666,3
152675,3
152677,3
152693,3
152712,4
152718,4
152720,4
152727,3
152732,3
152741,3
152743,4
152749,3
152759,3
152765,3
152769,3
152795,3
152807,4
152812,3
152813,3
152814,3
152821,3
152836,4
152844,3
152864,4
152892,4
152920,4
152921,3
152930,3
152944,4
152953,4
153093,3
157968,1
157991,4
158004,4
158011,3
158044,3
158047,2
158048,0
35173,4
158055,0
158062,2
158067,0
158070,3
158097,3
158102,3
158134,2
158140,1
158141,2
158151,3
158153,1
158182,0
158208,2
158209,2
158216,3
158223,2
158232,4
158238,3
158255,3
158276,4
158299,4
158304,1
158311,1
158315,0
158324,4
158329,4
158333,1
158369,1
158376,3
158378,3
162229,0
165425,4
165431,2
165444,1
168688,0
168711,0
168965,0
168980,0
168985,0
170429,3
170431,3
170432,4
170434,0
170435,0
170444,3
170450,0
170451,0
170453,0
170455,3
170461,0
170462,0
170467,1
171788,4
173397,0
173400,1
173407,0
173427,3
173431,3
173434,3
173451,0
173457,1
173462,2
173471,0
173486,3
173489,0
173493,0
173500,3
173501,0
173504,2
173531,2
173537,0
173539,2
173549,0
173568,0
173579,0
173600,0
173601,0
173609,0
173619,3
173626,0
173629,2
173647,2
173653,0
173654,0
173660,0
173663,0
173667,3
173691,0
173693,3
173697,1
173706,3
173713,0
173715,1
173724,0
173728,0
173730,0
173734,0
173743,0
173751,3
173767,0
173768,0
173781,0
173817,0
173822,2
173828,3
173833,3
173863,2
173864,0
173869,0
173881,4
173886,0
173907,0
173926,0
173931,2
173950,0
173964,1
173990,2
173992,0
174000,0
174007,1
174719,0
176096,3
176101,1
176103,3
176114,2
177001,0
177184,0
177602,3
177604,3
177606,0
177878,1
179289,2
179294,0
179312,4
179332,2
179432,2
179436,1
179444,4
179536,3
179547,0
179553,1
179563,2
179568,3
179616,2
179624,3
179840,2
181378,4
184169,3
184176,4
191175,0
191320,2
191324,2
191374,3
191414,2
191422,4
191425,4
191439,4
191450,2
191455,0
191456,3
191462,1
191463,3
191466,3
191470,1
191492,0
191503,3
191507,1
191517,2
191520,0
191576,0
191633,1
191659,2
191663,1
191704,3
191709,4
191733,4
191734,4
191735,4
191772,4
191782,4
191796,4
191836,2
191858,4
191866,0
191877,2
191881,0
193504,0
193510,4
193512,3
193523,0
193525,0
193529,0
193593,3
193594,0
193830,0
193841,0
193846,1
193849,0
193850,4
193853,0
193858,2
193860,0
193862,0
193863,0
193864,0
193885,0
193888,0
193902,3
193903,3
193912,0
193916,4
193917,3
193923,3
193937,4
193939,4
193946,0
193948,0
193955,3
193956,2
193960,3
193977,2
193980,0
193981,0
193982,0
193985,3
193991,4
193993,3
194002,3
194006,3
194008,3
194011,3
194048,0
194049,0
194051,0
194052,0
194070,0
194071,0
194073,0
194076,0
194078,0
194079,0
194081,1
194090,0
194091,1
194125,0
194127,0
194130,0
194133,0
194135,0
194136,0
194137,0
194139,0
194177,3
194181,0
194186,0
194187,0
194195,0
194196,0
194204,0
194205,0
194206,3
194208,0
194209,1
194218,0
194220,0
194221,0
194222,3
194223,0
194224,0
194226,0
194227,0
194229,0
194236,0
194237,0
194243,0
194244,0
194245,0
194246,0
194452,0
194472,0
194477,0
194532,0
194535,0
194540,0
51203944,0
194557,0
194596,3
194649,0
194659,0
194661,2
194668,0
194699,0
194704,0
194715,3
194722,0
