redlistCategory,internalTaxonId
3,133722
3,151198
3,151697
4,151700
3,151705
3,151708
3,151711
3,151720
3,151732
3,151742
3,151745
3,151748
4,151749
3,151753
3,151756
3,151760
3,151768
4,151776
4,151782
3,151783
3,151811
3,151813
3,151816
4,151831
3,151834
3,151846
3,151857
3,151860
3,151862
3,151874
3,151875
3,151878
3,151881
3,151923
4,151924
4,151927
3,151928
3,151934
4,151937
3,151940
3,151951
3,151953
4,151976
3,151987
4,151989
4,151993
3,151995
3,152008
4,152010
3,152046
3,152047
4,152065
3,152083
3,152084
4,152095
3,152101
4,152102
3,152105
3,152113
3,152115
3,152117
3,152124
3,152129
3,152137
4,152143
3,152152
3,152162
4,152163
3,152170
3,152173
3,152179
3,152193
4,152199
3,152200
3,152215
3,152230
3,152244
3,152249
3,152257
4,152266
4,152270
3,152273
3,152296
4,152304
3,152321
3,152326
3,152340
4,152352
4,152353
3,152360
4,152365
3,152387
4,152391
4,152396
3,152405
3,152408
4,152417
4,152421
4,152426
3,152437
4,152443
3,152444
3,152446
3,152459
3,152480
3,152484
3,152487
3,152489
3,152496
4,152503
4,152527
4,152529
3,152532
3,152533
4,152539
4,152540
3,152543
4,152546
3,152547
3,152550
3,152551
4,152553
3,152555
3,152570
3,152575
3,152582
4,152593
4,152598
4,152604
3,152608
4,152615
3,152629
3,152632
3,152637
3,152638
4,152641
3,152653
3,152657
3,152666
3,152675
3,152677
3,152684
3,152693
4,152707
4,152712
4,152718
4,152720
3,152727
3,152732
3,152741
4,152743
3,152749
3,152759
4,152762
3,152765
3,152769
4,152782
3,152795
3,152798
3,152800
4,152807
3,152812
3,152813
3,152814
3,152821
3,152834
4,152836
3,152844
4,152862
4,152864
4,152872
4,152883
3,152889
4,152892
3,152914
4,152920
3,152921
3,152927
3,152930
3,152931
3,152936
4,152944
4,152953
3,152962
3,153093
0,157938
0,157940
0,157949
0,157950
0,157953
0,157954
4,157955
3,157958
3,157959
1,157961
0,157962
2,157963
2,157966
0,157967
1,157968
1,157969
0,157972
0,157973
0,157974
0,157976
0,157977
0,157978
3,157983
0,157985
3,157987
0,157990
4,157991
2,157992
4,157997
0,157999
4,158002
4,158003
4,158004
0,158005
0,158007
0,158008
0,158009
3,158011
2,158012
0,158014
0,158015
3,158016
0,158017
4,158018
3,158019
3,158020
4,158021
0,158023
3,158029
3,158030
0,158031
3,158032
0,158033
0,158034
0,158035
0,158036
0,158038
3,158039
3,158042
2,158043
3,158044
0,158045
2,158047
0,158048
0,158050
4,35173
4,158052
4,158053
0,158054
0,158055
3,158057
0,158058
4,158060
2,158062
0,158063
4,158064
3,158065
0,158067
2,158069
3,158070
2,158071
1,158073
2,158074
0,158076
0,158077
2,158078
1,158079
0,158080
2,158083
1,158084
0,158085
2,158086
1,158087
2,158088
3,158089
4,158090
4,158092
0,158093
3,158095
3,158097
4,158098
0,158099
4,158100
2,158101
3,158102
3,158103
0,158105
0,158106
3,158107
0,158111
0,158112
2,158113
0,158115
2,158117
4,158118
2,158119
0,158121
3,158123
4,158125
3,158126
2,158127
0,158132
2,158133
2,158134
3,158135
2,158136
0,158137
1,158140
2,158141
3,158142
4,158143
2,158145
3,158146
0,158147
4,158149
0,158150
3,158151
1,158153
3,158154
3,158155
4,158157
2,158158
4,158160
0,158164
3,158166
4,158167
3,158168
3,158169
3,158170
4,158171
2,158172
0,158174
0,158175
2,158177
2,158178
3,158180
0,158181
0,158182
0,158184
3,158185
3,158186
4,158187
3,158188
4,158189
0,158190
0,158192
0,158193
0,158194
2,158196
2,158198
4,158199
0,158201
0,158202
4,158203
0,158205
0,158206
2,158208
2,158209
3,158210
1,158211
2,158214
3,158216
2,158217
2,158219
0,158220
4,158222
2,158223
4,158224
1,158225
2,158227
3,158228
3,158229
3,158230
0,158231
4,158232
2,158233
0,158234
2,158235
0,158236
3,158237
3,158238
4,158239
0,158240
3,158242
0,158243
0,158245
3,158249
0,158250
2,158251
4,158253
4,158254
3,158255
0,158256
0,158257
0,158259
2,158263
0,158265
2,158266
0,158267
0,158268
3,158269
0,158270
0,158272
2,158273
0,158274
4,158276
0,158278
3,158279
0,158280
0,158281
3,158282
2,158283
2,158285
0,158291
3,158293
0,158294
4,158295
0,158298
4,158299
0,158300
0,158302
1,158304
0,158305
0,158306
0,158310
1,158311
0,158314
0,158315
2,158316
2,158317
0,158320
3,158321
3,158323
4,158324
0,158327
3,158328
4,158329
0,158330
2,158331
1,158333
0,158334
2,158337
3,158339
3,158340
1,158341
0,158344
3,158345
2,158346
0,158347
2,158348
2,158349
2,158350
3,158351
3,158352
4,158355
0,158356
0,158357
0,158358
3,158361
3,158362
0,158363
0,158367
2,158368
